uid,pid
4857,9606
1154,8783
824,1023
3074,9669
189,8310
1207,9156
1447,6472
2728,8647
1522,988
1335,8478
384,6865
2682,3362
4732,2515
1210,6067
2370,156
3212,5197
870,3047
2634,6280
24,63
4525,3231
4064,8615
4512,1080
3035,5203
3412,5586
202,1379
1636,4205
3748,9791
4148,1299
4120,6974
1379,5429
1665,2721
4338,7392
341,3868
2392,5742
1948,5909
571,4280
3218,5253
2117,6249
600,2315
3089,4766
2942,3728
4528,7450
1597,5221
2813,7238
3964,7160
4801,4165
4610,1414
4107,1398
3170,9482
4592,6899
3912,5635
1315,7382
670,820
3713,1067
1291,1365
907,7264
4129,6983
3193,3384
2241,1109
3048,2287
1213,2150
4951,6713
4034,7006
4748,260
3680,4180
2246,1195
3624,3999
1598,3692
2769,1865
1599,81
1902,4358
3143,3514
3224,1085
4121,5708
1587,7765
273,1219
807,5099
1731,9427
3854,2143
4624,4556
4420,5599
718,124
3672,9163
4458,6990
2606,3384
2405,5280
1591,4560
1096,8530
3086,2166
4486,362
2295,5767
4853,9189
3678,8604
815,5688
2320,8348
1699,373
762,3039
11,8824
4509,717
4227,8305
2995,628
277,3404
2529,5992
387,8204
424,2021
2850,2582
1113,8593
1151,2297
2261,1932
2969,1692
4662,7225
130,2096
2718,2854
1187,1236
2754,5319
579,6104
34,2626
1484,4729
2216,8963
1843,3930
3426,3247
458,1956
3133,1333
3443,9220
1824,6416
2155,6514
1531,9306
3008,803
1075,8539
1025,7684
4347,9231
1833,1175
295,2069
1023,2570
3048,8627
548,5746
3271,9591
1146,2583
4232,3305
1990,4921
253,7052
1850,4624
2251,2371
1882,3825
1565,9760
944,5900
316,7527
4590,9090
4672,9746
504,9796
1117,3118
411,951
4180,3730
2774,5828
4741,2159
19,844
1350,627
154,8200
4819,1192
4187,1662
2130,2314
2285,831
505,6549
3584,1006
1526,2508
2644,9579
1859,5766
3908,2189
3285,8499
1466,7231
1047,1885
4927,4481
2544,9114
4455,3663
3813,6749
3807,5262
4564,7164
3549,6947
454,8572
3811,974
1232,4024
4862,1395
3583,2177
49,1961
1333,7311
889,8715
1260,8662
925,6365
166,5812
2597,8009
2895,3094
83,3350
2375,7562
3586,1210
2592,3231
3674,4422
824,9
2060,6800
3251,8817
104,110
3625,6265
3937,4142
1095,8845
3610,9955
1429,9717
488,7593
2915,4759
1299,7289
321,7145
401,6664
3689,3060
4073,4091
1931,2468
1745,9381
1629,1868
1261,8816
3133,4502
4037,3674
4237,2920
2737,2727
4385,4274
675,4836
3543,7220
4729,8012
3796,3405
4958,6691
2167,9422
1332,2543
3285,2189
2929,9079
3256,5701
1155,8676
740,6250
3328,7028
2512,2522
1510,1917
2821,8943
1012,8318
1702,8721
2115,9409
4908,4713
4653,1757
3013,5265
1480,1193
1097,2951
487,9050
4024,7151
750,2157
3483,4760
2359,8240
4598,6135
22,3226
1438,7039
4821,4443
1917,1635
3045,7438
703,1090
2330,9548
3367,7329
1889,4138
4964,9398
2880,2994
4530,8480
4971,3807
2742,4292
4759,9313
2241,9747
612,7009
832,7207
4268,1551
4006,588
4298,8519
3471,283
1312,4753
2202,7057
3042,1224
3801,6623
745,4210
1968,7067
3037,5950
3544,3987
3018,8093
1903,6049
4141,5542
2886,5754
635,1949
927,129
4270,8110
512,7465
445,3315
4312,2727
1311,2262
1085,8006
4380,5248
384,2852
1552,1007
174,1673
197,2310
2027,2375
1956,1422
3677,5325
2935,6522
1130,2806
654,7641
3687,5903
2036,7141
983,4870
4437,2360
1348,7470
4278,1854
2293,5214
1761,4021
3835,2137
1260,2449
3969,5288
3237,1628
2601,9028
4244,5242
253,9488
4141,5387
304,7474
4400,8682
1442,8322
1791,4642
3809,2699
2435,3873
1899,2191
1035,7220
2565,5464
2755,7953
4910,5672
3445,3540
85,9953
1366,6737
3139,97
1735,1928
1911,7798
1238,7063
3285,4863
2345,553
4026,7362
3999,7868
3206,6426
4883,9249
4014,6185
1998,492
3884,4251
4623,8506
1806,6155
2761,8355
320,4830
3793,6853
775,6749
1683,288
2748,7073
2296,4848
4968,3351
926,2917
2018,4275
356,4670
3722,9664
544,7860
4929,8421
2623,8307
4319,7364
1025,7859
2409,252
1614,6517
2509,3470
1233,4408
2467,2652
3223,8044
2474,2029
1636,9070
2427,830
2811,2737
2206,7667
1351,7646
1456,2218
778,2690
4494,4464
2409,342
1776,4109
2819,4684
1381,6875
533,4437
3398,3732
851,5439
1066,9145
3900,7228
2190,7151
827,4542
1054,5491
1853,7886
445,3134
900,8987
4821,708
4951,5696
3499,7735
923,4351
4474,8776
3811,4793
450,2061
2863,5487
2261,9694
2788,6147
4350,8826
2720,2135
262,5719
2752,3831
2460,182
3968,5507
1176,2036
806,7780
2645,3516
3643,7040
4353,8858
567,5961
1330,7292
4208,4607
3782,4561
3318,5446
3695,8627
2975,6162
4449,8928
2586,6303
2425,4340
850,7005
4700,6435
2321,3208
3122,898
2158,8565
3941,6853
2740,4585
177,323
1049,3236
4370,757
2232,8458
3109,6846
3915,2626
3556,2789
2608,8856
3801,1069
1767,6637
3829,7813
21,878
4630,2859
48,8738
4371,9276
2552,5868
3750,6103
1134,5617
445,5327
4876,4723
2052,2079
4592,6284
1066,8248
1502,5591
3238,1557
2674,935
3559,6208
4735,3019
3597,2813
894,8489
3567,660
1638,3192
2106,9596
1180,1642
658,963
3503,3269
3456,1450
4915,2483
768,1261
3641,6959
398,752
4855,7616
2285,9797
1633,7795
3443,5499
3787,8112
2517,3808
2209,6383
4962,6742
134,2563
414,5284
1629,7300
1526,1411
4696,907
3338,5273
2186,9734
2708,2115
4267,1819
4804,9610
304,9897
4237,9368
620,7498
1336,3733
2343,5317
251,6698
3512,9569
1165,70
210,6963
1064,1502
1993,7768
516,2879
3312,9566
3116,96
313,8956
1127,5091
2552,9875
990,9194
1284,9388
2893,6966
4514,5008
639,954
4151,2583
3730,6862
4882,9880
2708,3280
2861,2735
4641,6484
518,6892
490,412
854,3976
644,595
413,5091
2978,3812
775,841
1351,3608
3799,483
3204,1851
1199,1113
1394,4272
3257,9749
629,5851
4845,5122
2950,5308
4400,7060
4771,5084
293,7362
1020,4511
1362,9550
3053,569
1250,549
3275,7454
2970,4097
2469,7154
4707,9787
673,1663
1395,9198
1551,1988
4599,9416
470,7866
1705,2170
305,9042
4178,4846
2582,7546
4685,6983
403,2079
3000,4372
4469,8045
367,8047
2950,7537
3463,9586
506,6559
2627,7753
3535,7327
191,50
4974,7027
3895,3361
1642,5156
3490,1024
1484,8105
4625,1988
472,2377
4438,7531
2208,4312
2498,2145
3307,4734
4239,1057
3178,869
3799,1464
4719,4481
1167,4582
4586,666
3636,3054
1025,7988
2072,4925
4179,9664
513,2663
4681,4571
4111,7852
2673,6628
231,7610
4057,9067
3464,6876
3661,8261
1025,2256
4541,5900
3326,3415
1501,6659
4045,2229
1306,9752
2937,9480
1342,6994
4627,1173
4601,4249
1319,4734
3364,4916
1066,6127
4594,1038
1662,5448
278,4002
167,2453
851,6118
2581,8857
4308,6180
735,4826
841,7570
1768,4837
3778,6147
257,4994
4171,5191
1467,1858
3420,5165
1479,3157
3372,1609
2483,7496
3794,3121
1947,7259
1271,8145
4898,1553
4659,4158
788,3664
4210,2120
2002,3561
1971,3416
2920,5137
4893,6377
4606,2926
2575,1187
1161,8269
3738,1010
582,2752
4988,8453
714,1477
1388,1138
729,5425
4301,3335
4545,9709
4234,8524
4938,4390
3148,9813
3540,2360
3243,4003
4125,197
302,57
3686,7982
3336,8939
832,6116
2138,6883
1088,1481
4079,3982
1581,2704
519,6547
2962,2979
1443,9444
4004,1538
2274,6285
2601,2105
4711,5737
4571,1579
368,2115
2304,4667
4706,7882
1271,7433
1982,62
545,6953
954,2967
2322,2863
4229,1654
2651,9510
3499,1362
533,8769
273,5396
1683,6617
1294,799
2732,7700
3807,6278
2172,4311
2557,9586
2103,9794
1412,9675
1241,9514
1002,5267
3724,6244
4722,8226
3919,4428
2189,3068
4096,8197
3757,3871
966,6603
2621,5113
4333,3061
415,8150
3526,3063
3179,5590
3827,7123
2241,8125
2772,4895
3116,7445
3297,1586
3419,4302
1492,2951
2949,4629
1649,3876
1169,2290
470,8309
4455,2283
3449,7169
1510,6278
4114,9103
1890,9164
3199,7329
1281,9177
4582,1997
811,8000
1506,4589
4140,3004
804,4813
1152,5857
1645,6450
1377,5776
3614,3785
1376,8569
2949,5981
2006,2843
3932,4114
317,2103
4255,3919
2560,4963
2138,3609
2187,362
2365,9449
2104,2880
2109,4720
1320,1491
2896,8945
4907,2782
3700,3740
4132,5703
76,6283
3363,8968
3272,9142
896,5643
816,5073
2961,6590
3982,5893
1136,4502
2109,6955
268,7167
3801,7172
3,593
1644,3639
2745,4735
282,1010
2391,9465
4283,5665
1258,4466
3482,5581
2439,7308
406,1051
129,5582
1316,357
4862,8871
3999,6374
2092,7709
726,31
3739,766
3672,55
4551,3912
894,3775
2829,564
2092,6371
4655,1260
1574,5964
2094,797
4652,946
1907,808
233,127
1986,2035
2694,3087
1771,6045
4534,4323
3926,1054
1621,8629
4443,7580
4826,6694
2899,458
3270,9331
4070,5835
2136,8118
4322,6404
4750,7769
4396,4480
3650,3285
2495,9085
3270,824
1590,5379
782,8213
1367,7093
1825,7270
3063,8480
2259,9084
3172,2192
1314,7495
3530,6178
4723,3585
189,5412
3409,2884
192,8921
3833,3100
2464,457
756,1543
1993,6196
4434,1673
2186,9399
4463,9933
3455,4407
2877,3717
4955,8874
2559,2978
3616,5990
572,3999
701,7729
912,7832
3891,9831
3979,856
4555,122
2548,9904
4055,868
1286,6387
3428,9320
4700,3630
3353,6838
3220,9013
4598,7165
406,8104
3068,2570
1960,4437
1261,7151
2663,3735
72,3024
4972,3805
699,9830
2160,9845
4677,3798
4021,9878
1903,3660
3915,1917
2614,416
3244,95
361,9355
4653,3790
4305,3603
3585,9319
3281,1618
2739,3512
3955,9413
1320,9246
1789,1776
454,1308
246,2319
669,2168
4081,6967
1913,4111
3309,3370
2969,1353
1918,4106
4063,5591
1980,7749
4436,7977
2053,6638
3919,8012
4538,8076
1202,208
1035,5436
4138,9048
2360,6770
1745,299
1389,6957
2873,9223
4256,6904
95,7861
546,2940
377,5207
1920,6835
3845,3598
4878,55
4008,9561
2695,2969
1640,8071
2443,2142
1207,4301
4437,8628
4260,9987
1687,6786
4983,9145
2140,7405
1761,1144
2474,4583
3406,8707
3923,7265
3560,6555
2750,4449
1593,2129
7,6895
3309,439
3895,7210
1497,6656
4857,6872
4140,2310
211,5866
3408,9386
733,7629
1997,965
4673,5997
1491,8445
3990,2212
769,5572
955,64
263,3499
1477,6307
4532,1491
4005,8996
2693,9844
4641,9699
3075,4806
4389,6585
1935,8109
870,4221
1293,4162
3819,2084
875,1707
3256,3840
2140,1389
4032,8073
1725,7576
2750,7945
3034,8401
744,1040
3334,3965
2185,1768
2438,7752
3538,5107
1481,9078
300,1633
3759,2337
3636,5726
34,5745
1755,3608
701,6505
3425,6126
3455,6942
3518,7251
1460,1171
3557,1010
3577,1631
3765,8556
3113,4720
260,4429
4697,9257
2394,492
581,2951
1760,4737
501,4945
236,9905
4551,9310
1674,724
4714,5680
4352,392
2540,9486
2126,8270
2417,7967
3928,9890
3608,8306
785,5033
4196,1259
2158,8723
1348,9144
1340,4559
1415,5473
470,4702
1656,7806
1176,4447
2497,6770
801,4394
1551,3797
2272,3656
906,6160
4359,9775
1919,7441
2412,7932
932,447
3265,7113
2752,5783
1210,8814
36,9076
4951,4707
1466,5966
4893,132
1392,8953
373,6429
3953,2606
800,1525
1833,2407
4925,7975
138,1763
841,2602
1744,9593
3754,9523
965,8842
936,8305
577,9087
88,7078
1682,3329
2991,6261
3780,40
1783,2982
2078,6683
2065,5895
3097,4646
3071,7069
4701,4730
4612,6232
561,4542
1923,1060
1399,867
3353,3275
346,8293
688,5032
1437,2637
3304,2823
3937,8627
332,8153
1594,2193
2959,2387
4847,1507
2817,2213
2492,2043
4426,1640
2965,4720
3057,6433
378,6263
2513,4258
970,7114
2793,7216
4077,5300
3550,4863
314,7919
952,8201
3369,8052
558,8845
3014,1393
4398,7188
3122,8809
4573,2864
768,8310
1895,861
953,3481
76,6041
709,8242
3344,480
1503,315
3853,143
115,9582
1438,7114
110,7591
1834,2698
4314,4613
4203,3150
181,122
4251,3874
2637,2257
2683,2797
1578,671
215,1172
2127,4290
504,60
271,9254
879,8029
2304,3366
3891,177
2463,2704
1440,3356
480,1057
4660,7446
4599,4160
3687,499
1104,2359
910,4868
3919,2011
3908,8471
2333,3788
262,6009
4249,7400
4185,1659
2374,6059
3099,7618
4470,8641
2090,6760
3419,9035
3477,4065
1989,7632
149,8184
206,1835
1287,3799
1238,5490
1753,4598
3579,3719
4238,1482
4576,2727
4168,4991
417,5951
425,5440
4848,1295
3430,2259
424,8839
409,6034
1156,3869
1601,8355
2210,9153
3216,8554
905,3256
217,7108
4540,6868
1875,6340
2938,6549
871,6651
1619,296
586,800
3978,3245
255,3519
4618,6519
396,3102
2518,2317
1463,7114
1736,4221
2630,8400
1133,6240
1000,5031
3844,3833
4786,1787
2137,8375
754,7029
3995,2169
3801,3749
350,5121
3401,5298
3973,8753
1396,7720
8,1490
4668,5104
1797,1124
1332,957
4142,7584
1138,930
96,8905
3719,9378
2691,544
2837,1103
4066,5479
1908,6100
4089,8429
3640,6126
4086,4264
339,9013
3286,753
1298,5240
1285,9353
4327,5702
1240,1274
3379,2377
1571,728
3901,5533
2258,3542
4412,8159
4790,5860
2013,432
4927,1814
817,2265
184,1873
805,8696
3835,30
2343,808
194,513
4379,9215
695,7827
2840,320
929,1306
841,1489
1500,971
1411,4664
4547,4310
56,6222
4548,3376
1654,6757
1008,5918
4512,3222
2453,8333
734,2099
3722,4462
1851,475
223,3294
283,9563
2303,4244
3151,7682
3179,7092
1455,9309
1604,4817
1914,9633
2444,3711
1733,1512
4089,1957
990,1394
4543,225
2331,3548
3561,1062
4356,5070
100,7201
3978,9791
2584,9705
1642,51
932,1317
4106,6756
4245,9319
3055,2318
3434,1366
729,8948
735,8073
2027,1041
44,4751
3955,8601
2122,6636
1810,5934
1705,8270
4936,590
4145,4830
4631,6185
3579,7969
2610,7184
4890,2078
2499,7529
2348,8074
3710,6799
2415,1871
4173,2918
3466,2299
3528,7645
4497,1573
4408,6636
748,6378
3433,1485
3109,4517
2218,5143
860,4766
258,9013
1769,2313
4921,8885
2124,991
1920,4236
900,378
3830,5558
3547,7577
2936,972
4163,7236
3307,3790
3343,5129
1337,9616
1760,500
3534,898
123,2094
942,3910
4579,6252
3006,2806
560,9177
691,9390
4811,3742
3122,9925
4788,3229
1509,5753
3843,4829
3815,9432
4352,9583
1941,3371
3391,2415
2560,2029
2803,70
4747,377
4062,156
4701,4417
754,859
364,1723
863,8319
1055,3382
906,5914
1693,5338
398,1812
4807,4270
1809,3791
599,9075
3046,2824
2852,8813
4842,2745
2851,7729
2853,2748
723,9946
1271,8458
2981,4022
3277,6258
3679,7933
2039,8565
2355,8914
1759,9325
3488,8210
4559,6190
2061,4570
4759,4117
4893,3733
1074,4685
460,546
3357,4160
2908,8132
3115,8043
2940,4787
3832,7050
3078,4944
3352,7682
4555,1605
4778,5405
2726,6219
446,9392
1714,453
3472,5705
64,3034
3561,3748
4169,816
1089,509
4164,1523
2771,4783
2060,2822
4676,3947
1841,3440
4681,7877
498,6823
2292,7320
2788,7931
4186,9593
4874,776
4661,2280
3585,7231
4297,8947
598,5951
4501,3222
4270,1501
296,8253
1313,3282
2598,1402
1348,6531
1573,9569
3586,9052
688,6992
4711,1654
3375,2140
4177,6120
529,3191
3259,9833
4695,8158
4335,4499
2166,3183
2687,7779
657,4663
1031,4861
2937,889
3123,3293
1026,2043
3425,4296
4395,139
3195,5649
657,2383
2179,3303
2976,4761
307,6908
4728,2793
4848,4080
3200,6796
4098,5979
4289,6115
2363,1258
4425,4238
2369,6065
4963,9783
570,9199
2760,252
2355,9455
2676,3364
3413,6523
3127,9138
52,7563
3558,439
4725,8906
3285,2274
4612,1689
4548,8803
3559,3789
4739,8989
3627,4980
3411,2281
409,533
1963,9943
4244,7781
1411,4336
1369,3494
4521,6087
1587,8922
4302,813
3515,4933
3403,8916
2865,5296
1565,3515
2105,2746
4963,3832
1188,8841
2720,773
3018,1470
673,3489
3465,9975
2020,8950
4277,7358
3682,3194
4588,3774
1628,3327
3837,3653
1046,6486
964,8597
818,2385
2900,21
2595,8101
1762,6885
3876,206
4033,5647
325,2268
1728,8408
225,7660
396,5477
3943,9841
4979,9195
779,4449
1334,4463
1433,8524
3042,4188
2157,759
2004,354
361,1207
1078,5947
3164,1913
2035,7882
2796,1279
4434,557
272,2756
474,9537
2996,3232
4227,8660
1737,1015
956,2965
4736,9403
1351,6631
1667,8850
901,5733
4249,6131
4791,9456
220,1386
2634,5396
3105,5019
4510,1065
2147,9379
820,2404
996,1017
3841,7837
1561,3460
1667,4204
2488,7078
910,7101
1409,1334
1196,1122
2606,2988
735,1832
4776,4997
4740,1345
864,8918
150,6432
999,3629
12,5476
1451,5858
4312,6700
1462,8653
61,9944
1348,7010
348,9104
1857,9303
4675,7934
3396,982
3187,2822
3508,7229
4876,4950
942,1075
4143,5224
824,1237
4064,5492
4957,4814
4389,3426
2061,1702
2136,1006
2001,7057
2109,7684
4528,3944
2200,5995
4808,5157
2134,2782
572,8743
3958,1365
38,6838
4133,6306
3306,640
3202,3591
2071,3378
1556,8277
131,7362
3014,7168
1633,4489
4388,4990
1890,3518
1606,7038
4557,4238
3598,7893
3244,4007
4550,8147
4773,5459
2563,853
3377,259
3176,323
381,6225
3249,9257
2706,9479
1997,4019
3971,7741
4734,9442
2866,2749
4561,203
2416,435
4964,8079
4080,5169
4225,3221
4870,6879
3918,5074
57,8287
349,2763
2601,7071
4815,4098
4447,2855
2048,6428
593,5570
4431,7619
3870,1177
3253,7
212,9531
3671,5807
2107,8329
2921,1325
429,5181
2585,8480
1309,8587
4557,419
4690,4304
4971,1330
1422,327
11,8957
1031,2843
2658,9749
297,6630
1974,4564
2629,5623
4545,3945
1483,3218
596,1840
4423,7586
4777,5696
939,7194
4813,5006
1329,6793
1648,1328
2323,5915
322,1148
4817,1964
620,6973
1918,3879
3944,7095
2904,749
903,1794
2954,3521
1573,9811
96,5520
4314,5577
2741,4111
1007,9010
1156,2636
875,8190
162,2358
930,3259
2180,4457
449,9503
1315,2193
3568,8629
136,9040
2548,2878
1717,9658
1480,1864
4122,1357
167,6573
3865,3839
1577,9058
2343,2560
4976,2544
863,8254
1637,3360
340,1014
3132,206
794,7128
2041,8576
4202,4932
637,912
2673,4097
3057,6277
2379,8045
4221,3040
4201,1182
4870,9842
1564,6374
3930,9787
2869,7813
2489,3933
4804,8872
274,5439
1944,1216
3391,9213
1057,5102
1334,8477
3960,7242
620,4284
4991,7106
3088,9703
802,6735
1194,6630
3994,4084
1462,7346
3242,7520
521,5240
4504,1426
4063,357
4490,3356
2110,5201
2273,4192
4034,1976
3711,8552
4622,947
4649,5074
1084,1510
1032,6711
4257,1714
66,4525
2528,3738
4232,9874
2777,6435
4636,8697
534,3365
1962,881
2978,1726
95,7233
1494,4838
1026,1072
3105,4685
437,992
1188,2592
3167,683
3415,8762
1106,5941
2699,8535
405,3217
117,5204
3749,6384
3340,450
3437,8435
4367,8506
782,3954
1950,1466
1108,2950
3795,8941
2224,6816
2828,9673
1011,1773
721,6514
4022,5984
2188,1420
1771,6751
4458,7038
2719,9547
4052,8657
4382,4934
3610,1463
4419,1561
2069,8617
4091,6829
1471,761
1909,6311
762,118
4608,8417
2017,1198
673,1763
1359,1086
3415,2593
3690,9380
4197,1102
1491,6741
867,2878
4622,2155
3825,1289
3376,5638
2202,3659
825,548
4832,9416
2944,7947
1986,6813
4597,6530
1031,1073
4399,6992
1005,9371
4499,2588
19,9533
421,7667
47,7502
702,8521
4525,6118
2619,3894
3324,2482
3942,6978
3446,7943
2331,3675
1333,3043
4312,7026
349,2047
3257,4614
3737,3792
4744,3177
3957,7773
3734,5583
4142,171
4592,6900
705,2276
2497,8013
1423,55
144,6742
2091,8505
3614,8475
4204,488
2614,659
1598,2911
4609,1670
591,8230
4685,1999
673,5889
481,7340
3395,2425
3296,5506
3052,4600
3503,8766
3077,1982
61,9318
385,6768
1054,7566
4829,6912
3739,4823
2862,1111
2626,7825
2003,8159
3998,2817
2304,3998
915,2142
4691,2508
3680,918
807,3925
3953,1549
4939,9082
3279,6693
4079,4482
3543,8873
3834,4942
1948,8947
1226,7131
185,2686
793,2912
463,3237
3432,8982
3727,4794
227,2552
1213,3331
2472,96
186,4735
1230,1633
1292,8119
4510,7699
1300,7263
1848,1416
259,3115
4037,6733
2762,2798
4580,2509
389,9550
3396,3199
4074,3556
2117,4592
1108,239
3027,4299
3071,5256
3224,9781
1199,3344
3236,7893
2914,7701
2523,5520
1006,5220
1132,611
1584,8568
3146,6169
2874,1232
2673,8061
3672,7823
2190,7241
432,3453
1675,7020
747,6075
4726,5483
2940,4644
1749,7806
364,6686
3008,9451
2064,352
378,688
4064,1262
1053,4073
4460,3951
2274,8530
4917,7712
4066,1191
4925,1857
1932,5319
2956,1708
3459,2374
4048,4503
1227,4769
4392,8143
1393,6925
2069,8852
3644,184
781,8036
1571,6209
2742,3039
2075,740
4780,9946
2181,4429
1655,7375
883,3022
4844,1041
333,8108
221,6685
3741,643
680,9228
1354,8793
1849,6597
3917,2096
157,703
318,8245
2948,1956
4465,7814
3138,1873
4043,5473
1506,7739
371,2007
4247,1019
3807,975
313,3898
4956,7350
3960,9895
2009,1109
3896,165
1497,8731
618,9810
4395,1657
4018,9330
160,6924
1946,6379
1192,4421
619,584
2361,3685
210,8465
4301,884
655,6018
62,4432
3062,9559
89,9219
351,8969
1621,7901
4512,4226
3942,7232
3997,45
3802,1979
4129,457
815,4734
2196,7052
695,6172
4033,9236
2762,8143
2035,4089
3903,6789
2395,1966
1262,791
4433,9430
468,171
4108,1571
939,2015
3039,5033
1325,1878
611,3618
4998,4720
2139,3066
4860,4369
2096,4443
756,7539
4665,4883
2969,7271
4926,8240
2955,5815
385,9758
4770,8983
690,7672
1382,7738
3158,1338
1149,5473
2187,1015
1159,7854
1931,2006
954,7479
2026,487
1061,5766
2149,9348
2963,8396
225,3555
3622,3637
1997,7735
1972,1975
206,645
2531,5397
3157,8181
4029,3857
4414,7231
1480,5645
888,1412
2501,4034
2532,7103
1018,8602
4796,2560
94,9847
1177,8184
1081,6983
2616,8148
2894,5167
3491,8464
1517,4148
3544,3420
2153,4760
1928,3836
3923,9202
2294,8249
2937,2598
4817,8149
159,1444
576,5803
4720,7933
4138,3269
673,303
3871,7816
1042,4689
1694,7498
4154,3514
1227,2244
942,7117
2132,8674
77,638
3617,5623
4691,9848
646,5117
3288,4183
3135,970
1421,704
3839,4606
602,5105
1828,1097
3206,5859
4258,5497
3748,9916
946,849
1039,3137
4671,7862
1762,3320
